Dependencia,Organismo
Bienestar,Inhjuve
Bienestar,IAAMEH
Bienestar,Bienestar
CGCG,CGCG
Contraloría,Contraloría
Contraloría,SEAH
Cultura,Cecultah
Cultura,EMEH
Cultura,Cultura
Despacho,Despacho
DIFH,DIFH
DIFH,PPNNAF
DIFH,Junta de Asistencia
DIFH,Hospital del Niño
Gabinete de Seguridad,Gabinete de Seguridad
Gabinete social,Gabinete social
Gobernador,Gobernador
Gobierno,Gabinete
Gobierno,Gobierno
Hacienda,Catastro
Hacienda,Hacienda
Hacienda,IHDEP
Oficialía Mayor,Oficialía Mayor
Oficialía Mayor,Archivo
Otros,Otros
PGJEH,UECS
PGJEH,PGJEH
PGJEH,Fede
PGJEH,Cespimpp
PGJEH,UEIDA
PGJEH,Fiscalía de Género
PGJEH,Fiscalía Anticorrupción
Planeación,Citnova
Planeación,Planeación
Planeación,DESCTI
Planeación,Cedspi
Presidencia,Presidencia
Presidencia,Pemex
Presidencia,CFE
Presidencia,SICT
Presidencia,Conagua
Presidencia,FGR
Presidencia,GN
Presidencia,Sedena
Presidencia,Sedatu
Presidencia,Gobernación
Presidencia,Salud
Presidencia,INAH
Presidencia,Medio ambiente
Presidencia,IMPI
Presidencia,IMSS
Presidencia,ISSSTE
Presidencia,Procuraduría Agraria
Presidencia,Infonavit
Presidencia,Ejército
Presidencia,Infonavit
Saderh,Saderh
Sedeco,CEMR
Sedeco,Valle de Plata
Sedeco,AEEH
Sedeco,CIH
Sedeco,Cofoin
Sedeco,IHCE
Sedeco,Sedeco
Sedeco,Coinhi
Sedeco,Fomento Económico
Segobh,IHM
Segobh,CD Mujeres
Segobh,PC
Segobh,CJMH
Segobh,Coespo
Segobh,Segobh
Segobh,CEAV
Segobh,Indemun
Segobh,SECESP
Segobh,Sipinna
Segobh,Ci3
Segobh,CBPEH
Segobh,Ifreh
Segobh,IDPH
Segobh,RTVH
Semarnath,Semarnath
Semarnath,Proespa
Semarnath,PNCH
Semarnath,Coesbioh
Semarnath,Simaeh
Semot,Semot
Semot,STCH
Semot,Sitmah
SEPH,Inhide
SEPH,IHEA
SEPH,Básica
SEPH,Media superior
SEPH,Universidades
SEPH,CELCI
SEPH,IHE
SEPH,SEPH
SEPH,Inhife
SEPH,CEH
SEPH,IHFES
Sipdus,Caasim
Sipdus,CEAA
Sipdus,CEVI
Sipdus,CAASVAM
Sipdus,Sipdus
SSH,Copriseh
SSH,Cameh
SSH,Ceetra
SSH,LESP
SSH,CETS
SSH,APS
SSH,Repss
SSH,SSH
SSPH,ASEH
SSPH,PIBEH
SSPH,IFP
SSPH,C5i
SSPH,UPC
SSPH,C3
SSPH,SSPH
SSPH,Bomberos
SSPH,Policía Violeta
STPSH,ICATHI
STPSH,CCLEH
STPSH,STPSH
STPSH,PRODET
Turismo,Turismo
Turismo,OEEH
